id,name,followers,popularity,genres,main_genre
5jFfjaWSqgM14E9Ot6qZwG,Nate James,8878,28,['acid jazz'],Jazz
4Ytvi4r3WPIZmEw1Ndmkp9,Tom Browne,84621,40,"['jazz funk', 'post-disco', 'funk']",Jazz
3XhENSPHgA6F1katSQDGnq,Harm,698,18,['thrash metal'],Hip-Hop
65c5si0ePAwkOCn4M35Ho7,Sérgio Mendes,267458,62,"['brazilian jazz', 'bossa nova', 'samba']",Jazz
0yq2TSzo6du2KW5AiLir7L,Tonni Smith,65,9,[],Jazz
17Q9sCBpIyS6yM2YyaI6R4,Lords Of The Underground,272231,45,"['east coast hip hop', 'old school hip hop', 'hip hop']",Hip-Hop
02AgDpYGR3r3u3mvlApNqT,Ursula 1000,12147,26,"['big beat', 'cha cha cha', 'acid jazz', 'nu jazz']",Electronic
7FD5lGpmOvZeKY0Ziw0hf9,Slank,2787286,64,"['indonesian rock', 'indorock', 'indonesian pop']",Rock
6URFeH3cWWv6tj2RazL9IP,Bob Baldwin,48205,38,"['smooth jazz', 'cool jazz', 'jazz', 'jazz funk', 'christian jazz']",Jazz
0OwaxYpG77PWKSLtj1QzG8,The Chambers Brothers,37705,36,"['acid rock', 'psychedelic rock']",Rock
1QprS7HHiJycFXDhzUVd33,5 Fingers of Funk,136,3,['funk'],R&B
